index_unique,unique_original,original_copy,day_of_week
4,28 March,2024-03-28,Thursday
2,18 April,2024-04-18,Thursday
166,5 June,2023-06-05,Monday
39,24 January,2024-01-24,Wednesday
78,28 December,2023-12-28,Thursday
269,13 Feburary,2024-02-13,Tuesday
143,27 Feburary,2024-02-27,Tuesday
247,Yesterday,2024-04-26,Friday
304,Yesterday,2024-04-26,Friday
28,3 days ago,2024-04-24,Wednesday
111,2 days ago,2024-04-25,Thursday
103,4 days ago,2024-04-23,Tuesday
131,5 days ago,2024-04-22,Monday
