h_d_a_index,h_d_a_original,min_salary,max_salary
117,18.71 ,11675,0
156,15 - 17 ,9360,10608
276,23 - 26 ,14352,16224
279,18.01 ,11238,0
284,18.01 - 22.67 ,11238,14146
339,23 - 26 ,14352,16224
111,300 - 312.50 ,75600,78750
113,400 - 500 ,100800,126000
116,350 ,88200,0
161,400 - 450  inc benefits,100800,113400
3,32000 ,32000,0
4,28000 - 32000 ,28000,32000
115,30000 - 60000  inc benefits,30000,60000
183,60000 - 65000 ,51600,55900
209,85000 - 95000  OTE,85000,95000
248,37500 - 45000  OTE inc benefits negotiable,37500,45000
278,33000 - 35000  inc benefits,33000,35000
281,30000 - 34000  inc benefits negotiable,30000,34000
283,39000 - 46000  OTE inc benefits negotiable,39000,46000
